id,GLOBAL_SCORE
EK202310003556,131.81361818622858
EK202310170625,160.12906866110296
EK202310167359,150.70667869887953
EK202310118370,128.87446383666543
EK202320006361,157.6499991648661
EK202310003542,134.47053329495202
EK202310125266,142.42703416420352
EK202310144740,138.14094486834213
EK202310137443,142.22451209310503
EK202310159067,155.3390081616139
EK202310245067,130.01266440924476
EK202310240556,126.8812037453926
EK202310166743,148.2680234036167
EK202310247454,115.83814024402636
EK202310215702,152.67002666709777
EK202310142190,155.10758442925973
EK202310205417,131.2846817289348
EK202310119601,142.10717499938352
EK202310190356,127.06381899789767
EK202310158758,135.65134459334053
EK202310145496,124.30665270042101
EK202310164763,139.4108684053882
EK202310200188,132.0408726760958
EK202310238803,156.02553562107727
EK202320005607,167.69925691846308
EK202310225681,138.83930061680186
EK202310127174,128.15137867243868
EK202310204317,149.0710825636622
EK202310179355,135.22550070846918
EK202310176524,154.93457103115244
EK202310237228,135.9748508655137
EK202310172549,158.19321262999804
EK202310168863,135.01569132336874
EK202310185904,153.62919765325643
EK202310133615,158.19551216872384
EK202310122063,136.44302423005408
EK202310121770,139.88057641008965
EK202310125590,128.4729647737957
EK202310172269,133.53843282227703
EK202310147894,135.62989027746193
EK202310137986,143.38941413156482
EK202310150838,135.67382091954693
EK202310104915,136.3748274069939
EK202310170090,127.17413546755361
EK202310165637,135.0820781783513
EK202310134467,129.54706419517578
EK202310182637,159.09823254183956
EK202310112116,146.3905432978568
EK202310241220,151.19995850154154
EK202310103801,146.5273187513771
EK202310177448,123.53166802285733
EK202310157860,175.26341125831112
EK202310211985,140.42123906231595
EK202310232907,134.46188653661187
EK202310162917,138.89024153243378
EK202310211786,128.5063145859302
EK202310132171,152.1435726801427
EK202310153694,150.1182854375743
EK202310174960,164.86791115731387
EK202310121096,134.56907346301435
EK202310222475,121.43487065745973
EK202310146254,155.0209832535589
EK202310111466,143.72351554802339
EK202310004385,169.59814398085516
EK202310108961,146.72870376742156
EK202310203170,133.90282685156245
EK202310161424,175.06052474618016
EK202310206583,140.6428874955909
EK202310138840,135.9001838901015
EK202310221976,144.27921874233726
EK202310143972,137.12481920795142
EK202310175420,134.8655024761555
EK202310227655,136.30569433599393
EK202310163389,136.15335275162403
EK202310239480,138.2177697889022
EK202310146467,143.25468045994373
EK202310162597,138.4943108960827
EK202310194862,139.04992370866262
EK202310152448,139.56460907071403
EK202310245431,145.57538380597836
EK202310206822,164.44982290266293
EK202310166559,160.09074926820475
EK202310221701,160.895245970812
EK202310231403,122.60442844549002
EK202310156027,144.2787838612137
EK202310135956,148.62778221038712
EK202310183176,128.21694106519917
EK202310206055,167.55974707547728
EK202310167360,138.82693264202598
EK202310142701,142.95970745268613
EK202310156629,168.5630100593853
EK202310241352,141.0720236709585
EK202310123587,153.860266375305
EK202310003639,148.0473031267953
EK202310158269,158.1947539670653
EK202320007090,156.19922445550336
EK202310111707,137.57035159688746
EK202310104096,150.64119713536653
EK202310235404,115.62291606033094
EK202310108783,142.5103740932999
EK202310116298,136.19799588962888
EK202310156281,158.8100262013766
EK202310164483,137.3190402284889
EK202310108212,112.25568158593778
EK202310233950,135.42459735666822
EK202310157041,137.19107172431436
EK202310104522,137.21951156843335
EK202310175972,156.7168773306122
EK202310225965,141.939908358795
EK202310138403,133.93895377571351
EK202310234452,137.4609075982137
EK202310104614,156.92568243734084
EK202310117970,133.07363044417733
EK202310128727,137.28598898379033
EK202310190230,135.9352708241669
EK202310201465,149.0779167472397
EK202310197534,162.59858372514543
EK202310171846,125.87841908936791
EK202310193751,151.52562369421472
EK202310242967,137.88443433061087
EK202310112852,165.51500973630215
EK202310132804,156.553296537144
EK202310127612,139.89280670631302
EK202310136082,179.69954653564767
EK202310186665,165.10085873945192
EK202310156519,135.6579690915524
EK202310108430,143.34392730531576
EK202310164930,141.12884682492816
EK202310153971,157.59824769589358
EK202310129412,125.8550455271952
EK202310124383,136.10419486862432
EK202310215858,147.33612650137223
EK202310104131,144.35639010295338
EK202310185040,139.87242137758705
EK202310119251,150.3336582834742
EK202310191724,153.6515210997791
EK202310149922,133.48916732907588
EK202310176193,153.55344186915
EK202310204311,152.88580585549815
EK202310248324,154.19543285010494
EK202310120496,137.85054654162965
EK202310233548,132.1709026976714
EK202310219178,136.95696396814645
EK202310114723,146.35656031128968
EK202310185832,158.0025807267224
EK202310106587,156.11361375889473
EK202310239252,133.5752931888901
