example_id,TARGET
13000,0.8000003410720454
13001,0.8000002414512258
13002,0.7999999418305201
13003,0.7999994422100031
13004,0.7999987425897996
13005,0.7999978429700848
13006,0.7999967433510835
13007,0.7999954437330704
13008,0.7999939441163707
13009,0.7999922445013592
13010,0.7999903448884607
13011,0.7999882452781502
13012,0.7999859456709525
13013,0.7999834460674426
13014,0.7999807464682455
13015,0.7999778468740358
13016,0.7999747472855387
13017,0.799971447703529
13018,0.7999679481288314
13019,0.7999642485623212
13020,0.799960349004923
13021,0.7999562494576116
13022,0.7999519499214122
13023,0.7999474503973995
13024,0.7999427508866982
13025,0.7999378513904835
13026,0.7999327519099801
13027,0.7999274524464629
13028,0.7999219530012568
13029,0.7999162535757367
13030,0.7999103541713274
13031,0.7999042547895037
13032,0.7998979554317904
13033,0.7998914560997625
13034,0.7998847567950449
13035,0.7998778575193121
13036,0.7998707582742892
13037,0.7998634590617508
13038,0.7998559598835219
13039,0.7998482607414772
13040,0.7998403616375415
13041,0.7998322625736896
13042,0.7998239635519461
13043,0.799815464574386
13044,0.7998067656431339
13045,0.7997978667603645
13046,0.7997887679283027
13047,0.7997794691492229
13048,0.7997699704254502
13049,0.7997602717593589
13050,0.7997503731533739
13051,0.7997402746099698
13052,0.7997299761316712
13053,0.7997194777210527
13054,0.7997087793807388
13055,0.7996978811134045
13056,0.7996867829217738
13057,0.7996754848086217
13058,0.7996639867767724
13059,0.7996522888291007
13060,0.7996403909685308
13061,0.7996282931980374
13062,0.7996159955206449
13063,0.7996034979394275
13064,0.79959080045751
13065,0.7995779030780662
13066,0.799564805804321
13067,0.7995515086395484
13068,0.7995380115870728
13069,0.7995243146502684
13070,0.7995104178325595
13071,0.7994963211374203
13072,0.7994820245683749
13073,0.7994675281289975
13074,0.7994528318229122
13075,0.799437935653793
13076,0.799422839625364
13077,0.7994075437413992
13078,0.7993920480057227
13079,0.7993763524222083
13080,0.7993604569947798
13081,0.7993443617274112
13082,0.7993280666241261
13083,0.7993115716889987
13084,0.7992948769261524
13085,0.7992779823397609
13086,0.7992608879340478
13087,0.799243593713287
13088,0.7992260996818018
13089,0.7992084058439658
13090,0.7991905122042023
13091,0.799172418766985
13092,0.799154125536837
13093,0.7991356325183316
13094,0.7991169397160923
13095,0.799098047134792
13096,0.7990789547791541
13097,0.7990596626539516
13098,0.7990401707640074
13099,0.7990204791141946
13100,0.799000587709436
13101,0.7989804965547046
13102,0.7989602056550231
13103,0.7989397150154642
13104,0.7989190246411506
13105,0.7988981345372548
13106,0.7988770447089996
13107,0.7988557551616571
13108,0.7988342659005498
13109,0.7988125769310502
13110,0.7987906882585804
13111,0.7987685998886124
13112,0.7987463118266684
13113,0.7987238240783207
13114,0.7987011366491908
13115,0.7986782495449508
13116,0.7986551627713224
13117,0.7986318763340773
13118,0.7986083902390372
13119,0.7985847044920734
13120,0.7985608190991075
13121,0.7985367340661109
13122,0.7985124493991047
13123,0.7984879651041601
13124,0.7984632811873982
13125,0.79843839765499
13126,0.7984133145131564
13127,0.7983880317681681
13128,0.7983625494263458
13129,0.7983368674940601
13130,0.7983109859777314
13131,0.7982849048838303
13132,0.7982586242188767
13133,0.7982321439894412
13134,0.7982054642021437
13135,0.7981785848636539
13136,0.7981515059806918
13137,0.7981242275600272
13138,0.7980967496084796
13139,0.7980690721329187
13140,0.7980411951402634
13141,0.7980131186374833
13142,0.7979848426315975
13143,0.7979563671296749
13144,0.7979276921388344
13145,0.7978988176662448
13146,0.7978697437191247
13147,0.7978404703047424
13148,0.7978109974304166
13149,0.7977813251035152
13150,0.7977514533314564
13151,0.7977213821217081
13152,0.7976911114817882
13153,0.7976606414192642
13154,0.7976299719417538
13155,0.7975991030569242
13156,0.7975680347724925
13157,0.7975367670962261
13158,0.7975053000359419
13159,0.7974736335995063
13160,0.7974417677948362
13161,0.797409702629898
13162,0.7973774381127079
13163,0.7973449742513321
13164,0.7973123110538866
13165,0.797279448528537
13166,0.7972463866834992
13167,0.7972131255270385
13168,0.7971796650674702
13169,0.7971460053131594
13170,0.7971121462725209
13171,0.7970780879540198
13172,0.7970438303661703
13173,0.7970093735175371
13174,0.7969747174167343
13175,0.7969398620724257
13176,0.7969048074933255
13177,0.7968695536881971
13178,0.7968341006658539
13179,0.7967984484351595
13180,0.7967625970050266
13181,0.796726546384418
13182,0.7966902965823467
13183,0.7966538476078749
13184,0.796617199470115
13185,0.7965803521782288
13186,0.7965433057414283
13187,0.7965060601689751
13188,0.7964686154701803
13189,0.7964309716544056
13190,0.7963931287310615
13191,0.7963550867096089
13192,0.7963168455995582
13193,0.7962784054104699
13194,0.7962397661519537
13195,0.7962009278336697
13196,0.7961618904653275
13197,0.796122654056686
13198,0.7960832186175548
13199,0.7960435841577926
13200,0.796003750687308
13201,0.7959637182160592
13202,0.7959234867540544
13203,0.7958830563113516
13204,0.7958424268980583
13205,0.7958015985243319
13206,0.7957605712003794
13207,0.7957193449364576
13208,0.7956779197428732
13209,0.7956362956299824
13210,0.795594472608191
13211,0.7955524506879553
13212,0.7955102298797804
13213,0.7954678101942215
13214,0.7954251916418836
13215,0.7953823742334214
13216,0.795339357979539
13217,0.7952961428909906
13218,0.7952527289785801
13219,0.7952091162531607
13220,0.7951653047256358
13221,0.7951212944069582
13222,0.7950770853081305
